wz_ln_closure,objectid_1,crn,district,county,municipality,crash_year,crash_month,day_of_week,time_of_day,hour_of_day,illumination,weather,road_condition,collision_type,relation_to_road,work_zone_type,work_zone_loc,work_zone_ind,intersect_type,tcd_type,location_type,urban_rural,fatal_count,injury_count,person_count,total_units,sch_bus_ind,sch_zone_ind,latitude,longitude,arrival_tm,cons_zone_spd_lim,dispatch_tm,est_hrs_closed,lane_closed,ln_close_dir,ntfy_hiwy_maint,spec_juris_cd,tcd_func_cd,tfc_detour_ind,workers_pres,wz_close_detour,wz_flagger,wz_law_offcr_ind,objectid,wz_moving,wz_other,wz_shlder_mdn,vehicle_count,automobile_count,motorcycle_count,bus_count,small_truck_count,heavy_truck_count,suv_count,van_count,bicycle_count,maj_inj_count,mod_inj_count,min_inj_count,tot_inj_count,unk_inj_deg_count,unk_inj_per_count,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,unbelted_occ_count,unb_death_count,unb_maj_inj_count,belted_death_count,belted_maj_inj_count,mcycle_death_count,mcycle_maj_inj_count,bicycle_death_count,bicycle_maj_inj_count,ped_count,ped_death_count,ped_maj_inj_count,max_severity_level,comm_veh_count,dec_lat,dec_long,rdwy_surf_type_cd,county_name
 ,35,2017035801,6,67,67301,2017,3,5,1434,14,1,1,0,5,6, , ,N,0,0,0,3,0,1,1,2,N,N,40 02:05.600,75 06:35.400,1436, ,1434, ,0, , , ,0, , , , , ,158, , , ,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40.0349,-75.1098, ,Philadelphia
 ,36,2017035713,6,67,67301,2017,3,6,2345,23,3,1,0,4,1, , ,N,1,2,0,3,0,1,3,2,N,N,40 01:39.836,75 06:35.867,1, ,2355, ,0, ,N, ,3, , , , , ,161, , , ,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40.0277,-75.11, ,Philadelphia
 ,37,2017033083,6,67,67301,2017,3,4,1915,19,3,1,0,8,1, , ,N,0,0,0,3,0,1,2,2,N,N,40 05:42.090,74 57:33.868,1925, ,1920, ,0, ,N, ,0, , , , , ,168, , , ,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,40.095,-74.9594, ,Philadelphia
 ,38,2017033499,6,67,67301,2017,3,6,1739,17,1,4,1,1,1, , ,N,1,2,0,3,0,2,3,2,N,N,39 55:38.651,75 08:42.007,1743, ,1742,1,1,2,N, ,3,N, , , , ,171, , , ,2,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9273,-75.1448, ,Philadelphia
 ,39,2017055618,6,67,67301,2017,5,4,9999,99,1,1,0,2,1, , ,N,0,0,0,3,0,1,3,3,N, ,39 59:01.710,75 07:10.084,1112, ,1110, ,0, , , ,0, , , , , ,179, , , ,3,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9838,-75.1195, ,Philadelphia
 ,40,2017060460,6,67,67301,2017,5,7,1700,17,1,1,0,5,6, , ,N,0,0,0,3,0,1,1,3,N,N,40 02:17.486,75 09:59.933,1715, ,1707, ,0, ,N, ,0, , , , , ,184, , , ,3,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40.0382,-75.1666, ,Philadelphia
 ,41,2017067783,6,67,67301,2017,5,2,1520,15,1,1,0,4,1, , ,N,0,0,0,3,0,1,2,2,N,N,40 00:50.684,75 08:50.294,2045, ,1530, ,0, ,N, ,0, , , , , ,189, , , ,2,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40.0141,-75.1473, ,Philadelphia
 ,42,2017070436,6,67,67301,2017,6,5,220,2,3,1,0,4,1, , ,N,2,2,0,3,0,1,2,2,N,N,39 57:30.637,75 09:56.095,230, ,227, ,0, , , ,3, , , , , ,190, , , ,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39.9585,-75.1656, ,Philadelphia
 ,43,2017012296,6,67,67301,2017,1,2,1521,15,1,1,0,4,1, , ,N,1,2,0,3,0,2,3,2,N,N,40 01:15.937,75 08:23.758,1525, ,1527,1,1,1,N, ,3,N, , , , ,198, , , ,2,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40.0211,-75.1399, ,Philadelphia
 ,44,2017019105,6,67,67301,2017,1,2,1530,15,1,1,0,7,4, , ,N,1,2,0,3,0,2,2,1,N,N,39 59:21.050,75 11:01.006,1533, ,1531,3,2,1,Y, ,3,Y, , , , ,199, , , ,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,39.9892,-75.1836, ,Philadelphia
